projeto,titulo_em_phases,wbs_em_activities,id_phases,id_activities
Teste 02 - Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,67dd8389,d2e27313
Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,6fdbfe21,0f02e8af
Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,71dd9362,f9e11627
Projeto Escritório de Processos,4 FASE 3 · METODOLOGIA DE TRABALHO 27/10 – 09/12/2026 · 30 dias úteis · Entregável âncora: Manual guia do Escritório de Processos,4,7a0c87e2,543d2df8
Serviço de Ultrassonografia,1.6 Tecnologia da Informação,1.6,7a29325f,b3c3c548
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.2 Paciente percorre a jornada de videos,1.2,7a2e1dc1,0f575e9c
Projeto Escritório de Processos,5 FASE 4 · DISSEMINAÇÃO 10/12/2026 – 22/01/2027 · 30 dias úteis · Entregável âncora: Equipes treinadas,5,8ab3d026,505fad27
Teste 02 - Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,90493fba,80395383
Serviço de Ultrassonografia,1.2 Planejamento,1.2,99381c4d,ccf24c88
Teste 02 - Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,a0842a74,20be1149
Teste - Revitalização Tasy - 26/08/2026,1.2 Fase de Cadastros e Funções Essenciais,1.2,ac30fa69,5bea8902
Teste  - Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,b05841bf,70610a58
Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,b428b4f6,7cd56006
Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,b564447b,87daaffa
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.4 Paciente ve suas conquistas (selos e pontos),1.4,b923e934,fd5c2472
Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,ba5174ff,d599544c
Serviço de Ultrassonografia,1.10 Marketing e Comercial,1.10,c4fb4914,e92b3b90
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.3 Paciente ve seu progresso salvo entre sessoes,1.3,c59c7d30,99e6490f
Teste 02 - Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,c725739f,efb297bd
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.5 Paciente e clinica compartilham videos por link,1.5,c8b6f087,9229afe6
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.6 Paciente avalia os videos,1.6,cb17b3c3,81a59a85
Teste - Revitalização Tasy - 26/08/2026,1.1 Fase de Planejamento e Lançamento,1.1,cd4067c7,ffdd6396
Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,cdc0e21a,7987de4f
Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,db784601,46818ede
Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,dc1562cc,f4fc5f96
Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,e1380047,3750f6a5
Teste - Revitalização Tasy - 26/08/2026,"1.4 Fase ETAPA I - Teste Piloto, Liberação e Acompanhamento",1.4,e1f66b59,74be3218
Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,e2687ac8,67c75afa
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.8 Paciente reconhece a clinica em cada tela,1.8,e5985cc2,06fe5dd6
Serviço de Ultrassonografia,1.12 Implantação e Go Live,1.12,e665ffbb,eb626630
Teste - Revitalização Tasy - 26/08/2026,"1.3 Fase de Validações, Testes, Ajustes, Treinamentos e Documentações",1.3,f153aa21,73bcee52
Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,f32db3d9,ffbd98a9
Projeto Escritório de Processos,3 FASE 2 · DIAGNÓSTICO 06/10 – 26/10/2026 · 14 dias úteis · Entregável âncora: Diagnóstico da instituição,3,f46b55aa,e2f61c5a
Projeto Escritório de Processos,1 GERENCIAMENTO DO PROJETO,1,f48b338d,96d67487
Teste Revitalização Tasy,1.2 Fase de Cadastros e Funções Essenciais,1.2,f4dcde1e,acf76a85
Serviço de Ultrassonografia,1.13 Encerramento,1.13,f6f72275,d86bf5a3
Projeto Escritório de Processos,2 FASE 1 · MAPEAMENTO AS-IS 24/08 – 05/10/2026 · 30 dias úteis · Entregável âncora: SIPOC de todas as áreas,2,fc783356,cf85dd19
Serviço de Ultrassonografia,1.4 Infraestrutura,1.4,fe1ba8b4,b1ca569b
